title,add1,city,add2,email,pobox,phone1,contact,fax,description,isPaid,webpage,lat,lng,subCatId
"Alternative Medicine Service Centre",Teku,Kathmandu,Nepal,,,4262115,,,,N,,27.6949964,85.3149142,428
"Oriental Healing Centre","Kings Way",Kathmandu,Nepal,orientalhealcentre@yahoo.com,,4229224,,,,N,,NULL,NULL,101
"Adarsha Trade Concern",Kamaladi,Kathmandu,Nepal,adarsha@wlink.com.np,,4435356,,4411591,,N,,27.709047,85.3194375,102
"Amit Enterprises",Fasikev,Kathmandu,Nepal,amitent@wlink.com.np,"12507, Ktm","4255767, 4268174",,4255563,,N,,NULL,NULL,102
"B. B. Puri & Sons",Teku,Kathmandu,Nepal,,,4262045,,,,N,,27.6953569,85.3039274,102
"Unisa Polychem Industries (P) Ltd.",Hattisar,Kathmandu,Nepal,sakhason@mos.com.np,"15, Ktm","4422798, 4436732",,4421490,,N,,27.7121469,85.3246066,102
"Radio City Car Audio",Kuleswor,Kathmandu,Nepal,,,16209217,,,,N,,27.6899521,85.2955242,298
"21st Century Media & Entertainment Pvt. Ltd.",Gairidhara,Kathmandu,Nepal,info@21stcenturyme.com,,"4424644, 4427513",,4455455,,N,,27.71915,85.3262218,103
"Abc Creation Pvt. Ltd.",Ghattekulo,Kathmandu,Nepal,media@abccreation.wlink.com.np,"15142 KPC 820","4770611, 4770262",,4770262,,N,,27.7021237,85.3310673,103
"Ace Mark",Jawalakhel,Lalitpur,Nepal,,,5524359,,,,N,,27.6744259,85.3123293,103
"Adventure Media (P.) Ltd.","Kamal Pokhari",Kathmandu,Nepal,madventure@wlink.com.np,"8975 EPC 5219","4420002, 4445148",,4420002,,N,,27.7108941,85.3254142,103
"AM 2 PM Media Service",Gairidhara,Kathmandu,Nepal,ampm@wlink.com.np,"10759, Ktm","4419472, 016914416",,4435213,,N,,27.71915,85.3262218,103
"Annapurna Advertising & Secretarial",Pokhara,Pokhara,Nepal,,,520249,,,,N,,28.2,83.981667,103
"Annex Advertising Service",Nayabazar,Kathmandu,Nepal,,,4443888,,4443888,,N,,27.7191814,85.3096178,103
"Baboo Sanitary Ware","Ravi Bhawan",Kathmandu,Nepal,baboosanitary@gmail.com,,4030633,9841350339,,,Y,,,,145
"Atul International Pvt. Ltd.",Baneshwor,Kathmandu,Nepal,,,4493683,,4493683,,N,,27.6832658,85.3491973,103
"Boost Up Marketing & Advertising (P) Ltd.","Old Baneshwor",Kathmandu,Nepal,buma@htp.com.np,"8975 EPC 5534","4473852, 4468996",,4480936,,N,,27.7024708,85.3414027,103
"Business Advantage Private Limited",Naxal,Kathmandu,Nepal,mail@advantage.com.np,"3765, Ktm","4433058, 4434587, 4432940",,4432940,,N,www.advantage.com.np,27.7159129,85.327837,103
"Canvas Advertising Agency Pvt. Ltd",Putalisadak,Kathmandu,Nepal,canvasada@gmail.com,"24237, ktm",4410113,,,,N,www.canvas-media.com,27.7029275,85.3223452,103
"Chakrapath Media Pvt. Ltd.","Old Buspark",Kathmandu,Nepal,,,4240078,,,,N,,NULL,NULL,103
"City Advertising Service",Kalimati,Kathmandu,Nepal,cityadv@mail.com.np,,"4270985, 4274471",,4270985,,N,,27.6999738,85.2890594,103
"Contact Us (P) Ltd.","Main Road",Hetauda,Nepal,basanta@ccsl.com.np,,"521143, 520328",,,,N,,27.5388595,85.1093245,103
"Creative Explorer Pvt. Ltd.",Maitighar,Kathmandu,Nepal,creativeexplorer@hotmail.com,"5906, Ktm",4268898,,,,N,,27.6919767,85.3229913,103
"Creative Marketing & Advertisement Center",Maisthan,Birgunj,Nepal,cmac@birgunjonline.com,,051-528131,,,,N,,27.0107893,84.8786568,103
"Crimson Advertising & Marketing (P.) Ltd.",Baneshwor,Kathmandu,Nepal,crimson_ad@hotmail.com,"23318, Ktm",4464706,,,,N,,27.6832658,85.3491973,103
"Deena Advertising Agency",Thapathali,Kathmandu,Nepal,,,"4261604, 4261896, 6613407",,4261896,,N,,27.6894055,85.3226683,103
"Enigma Advertising",Bijulibazar,Kathmandu,Nepal,enigmaad@hotmail.com,,4780935,,4782177,,N,,27.6921993,85.3302326,103
"Ever Green Advertising Media","New Baneshwor",Kathmandu,Nepal,evergreenad@mail.com.np,"10960, Ktm","4495138, 4487920",,4487817,,N,,27.6915196,85.3420486,103
"Facility Aid Nepal Pvt. Ltd.",Kalimati,Kathmandu,Nepal,,,"2200229, 4302338",,,,N,,27.6999738,85.2890594,103
"First Look Media Pvt. Ltd.",Anamnagar,Kathmandu,Nepal,,,"2002796, 9851013090",,,,N,,27.6976913,85.3297752,103
"Florid Advertising Agency P. Ltd.","Old Baneswor",Kathmandu,Nepal,floridadv@yahoo.com,,"4491390, 4462855",,4464266,,N,,27.7024708,85.3414027,103
"Follow - Up",Battisputali,Kathmandu,Nepal,follow_upmedia@hotmail.com,"19948, Ktm",9841236148,,4469405,,N,,27.7054834,85.3439863,103
"G. Media Pvt. Ltd.",Buddhanagar,Kathmandu,Nepal,,"8975 EPC 5320",2040270,,,,N,,27.6867401,85.3304212,103
"Gateway Sanchar Sewa",Sinamangal,Kathmandu,Nepal,,,4467052,,,,N,www.gss.com.np,27.6991378,85.3510904,103
"Global Consumers Service Centre Pvt. Ltd.","New Road",Kathmandu,Nepal,globalcon@wlink.com.np,"19926, Ktm","4225444, 9851050550",,,,N,,27.7033426,85.3115765,103
