subCatId,subCategory,parentId
1,"Agriculture & Handicraft",0
2,"Art & Entertainment",0
3,"Automobile & Transportation",0
4,"Banks & Financial",0
5,"Service & Maintenance",0
6,"Organization & Clubs",0
7,"Education & Training",0
8,"Electric & Electronics",0
9,"Food & Restaurant",0
10,"Doctors & Medicals",0
11,"Hospitality & Tourism",0
12,"Industrial & Construction",0
13,"News & Events",0
14,"Business & Trading",0
101,Acupressure,10
102,Adhesives,5
103,"Advertising Agencies",14
104,"Advertising- Internet",14
105,"Advertising- Promotions",14
106,"Agent & Authorised Dealers",5
107,"Agricultural Equipment & Implements",1
108,"Agricultural Seed Testing & Equipment Suppliers",1
109,"Air Compressors",8
110,"Air Condition Sales & Repair",8
111,Airlines,5
112,Airport,6
113,"Aluminium & Products",5
114,"Animal Feed",1
115,"Animal Training Centers",1
116,"Apartment- Hotel",11
117,Aquariums,1
118,"Art Galleries",2
119,"Artist Material",2
120,"Artists- Commercial",2
121,"Associations & Clubs",6
122,"Astrological Centers / Vastu Shastri",2
123,"Audio & Video Cassettes Manufacturers",2
124,"Audio & Video Recording Studios",2
125,"Audio & Visual Equipment",2
126,Auditors,14
127,"Automobile Dealers",3
128,"Automobile Repair & Services",3
129,"Automobile Spareparts & Accessories",3
130,"Automobiles- Body Dents/Paints",3
131,Awning,5
132,"Ayurvedic Clinics",10
133,"Ayurvedic Products",10
134,"Baby Articles",5
135,"Baby Foods & Products",9
136,"Badges & Caps",5
137,"Bags & Wrappers",5
138,Bakeries,9
139,"Balance Equipment",8
140,"Banking Equipment Suppliers",4
141,Banks,4
142,Barcode,5
143,"Barracks- Army",6
144,"Barter System",14
145,"Bathroom Fixtures",5
146,Batteries,8
147,"Battery Charging Equipment",8
148,Beads,1
149,Bearings,5
150,"Beauty Parlours",14
151,"Bee Keeping Farms",1
152,Beverages,9
153,"Bicycles & Mountain Bike Sales & Repair",3
154,Biscuits,9
155,Bitumen,5
156,Boiler,5
157,"Book Dealers",5
158,"Book Publishers",5
159,"Book Shops",5
160,"Drilling & Boring Companies",5
161,"Drilling & Boring Equipment",5
162,Boutiques,14
163,Brassware,1
164,Breweries,9
165,"Bricks & Tiles",5
166,Briquettes,5
167,Bristles,5
168,"Broadcasting- Radio Stations",13
169,"Broadcasting- Television",13
170,"Buddhist Institute",6
171,"Bus Services",14
172,"Business Management",5
173,"Cable Car/Ropeway",14
174,"Cables & Accessories",8
175,"Camera Sales & Services",8
176,Candles,1
177,Cardamom,1
178,"Cargo Services",14
179,"Carpet Manufacturers & Exporters",1
180,Casino,2
181,"Catering Services",14
182,Cement,12
183,"Chambers of Commerce & Industry",6
184,"Chartered Accountancy & Education",7
185,"Chartered Accountant-Regulating Body",7
186,"Chartered Accountants",14
187,"Chemicals- Food",9
188,"Chemicals Products",12
189,"Chemicals- Raw",12
190,"Cinema Halls",2
191,Clinics,10
192,"Coaching Centers",7
193,Coal,12
194,"Coffee Producer",1
195,"Cold Stores",5
196,Colleges,7
197,"Color Lab Goods & Equipment",5
198,"Color Labs",14
199,"Color Scanning and Pre-press",14
200,"Communication Centers",14
201,"Communication Media",14
202,"Computer- Accessories & Dealers",8
203,"Computer- Consultants",14
204,"Computer Network Solutions",14
205,"Computer- Software Development",14
206,"Computer- Training",7
207,"Concrete Products",12
208,Confectionery,12
209,"Conferences, Exhibitions & Seminars Facilities",13
210,"Construction Companies",12
211,"Construction Equipment Sales",12
212,"Construction Material Suppliers",12
213,"Consulates & Embassies",6
214,"Consultancies- Agricultural",14
215,"Consultancies- Aviation",14
216,"Consultancies- Commercial",14
217,"Consultancies- Construction",14
218,"Consultancies- D.V. Programme",14
219,"Education Consultancies",7
220,"Consultancies- Environment",14
221,"Consultancies- Hospital",14
222,"Consultancies- Industrial",14
223,"Consultancies- Landscape",14
224,"Consultancies- Management, Marketing & Research",14
225,"Consultancies- Others",14
226,Contraceptives,10
227,"Copper Products",12
228,Cosmetics,10
229,"Courier Services",14
230,"Credit Cards",4
231,"CTEVT Affiliated Institutions",6
232,"Cultural Groups",2
233,"Curio Shops",1
234,"Custom Clearing Agency",14
235,"Cyber Cafes",14
236,"Dairy Machinery",12
237,"Dairy Products",9
238,"Dental Clinics",10
239,"Departments/Ministries- Nepal Government",6
240,"Directory Publishers",14
241,Disco,2
242,Distilleries/Wines,12
243,"Doctors- Acupuncture",10
244,"Doctors- Anaesthesia",10
245,"Doctors- Anatomy",10
246,"Doctors- Ayurvedic",10
247,"Doctors- Cardiology",10
248,"Doctors- Cardio-Thorocic Surgery",10
249,"Doctors- Chest Diseases",10
250,"Doctors- Community Medicine",10
251,"Doctors- Dentistry",10
252,"Doctors- Dermatology",10
253,"Doctors- ENT",10
254,"Doctors- Epidemiology",10
255,"Doctors- Family Planning",10
256,"Doctors- Gastroentomology",10
257,"Doctors- General",10
258,"Doctors- Gynaecology & Obst.",10
259,"Doctors- Homeopathy",10
260,"Doctors- Manokranti Therapy",10
261,"Doctors- Maternal Child Health",10
262,"Doctors- Medicine",10
263,"Doctors- Microbiology",10
264,"Doctors- Naturopathy",10
265,"Doctors- Nephrologist",10
266,"Doctors- Neurology",10
267,"Doctors- Occupational Medicine",10
268,"Doctors- Ophthalmology",10
269,"Doctors- Orthopaedics",10
270,"Doctors- Paediatrics & Surgery",10
271,"Doctors- Pathology",10
272,"Doctors- Pediatrician/Pediatric Cardiologist",10
273,"Doctors- Physiotherapist",10
274,"Doctors- Plastic Surgery",10
275,"Doctors- Psychiatry",10
276,"Doctors- Public Health",10
277,"Doctors- Radiology",10
278,"Doctors- Sexology & Sexopsychology",10
279,"Doctors- Surgery",10
280,"Doctors- Ultrasound",10
281,"Doctors- Urology",10
282,"Doctors- Venereology",10
283,"Doctors- Veterinary",10
284,"Doctors- Yoga Therapy",10
285,"Driving Institutes",7
286,"Dry Cleaners",14
287,"Dyeing Industries",12
288,"Dyes & Chemicals",12
289,"Edible Oil & Ghee",9
290,"Educational Materials",7
291,"Electrical Accessories/Equipment Sales & Repair",8
292,"Electrical Cable Manufacturers",12
293,"Electrical Fabrication",8
294,"Electrical Goods Manufacturers",12
295,"Electrical Vehicles",3
296,"Electronic Components",8
297,"Electronic Dealers",8
298,"Electronic Products/Equipment Sales & Repair",8
299,"Electronic Security Sollution",8
300,Elevators,5
301,Embroidery,14
302,"Engineering- Architects",14
303,"Engineering- Civil",14
304,"Engineering- Consultancy",14
305,"Engineering- Electric & Electronics",14
306,"Engineering- Equipment & Suppliers",14
307,"Engineering- Hydro",14
308,"Engineering- Mechanical",14
309,"Engineering- Structural",14
310,"Essential Oil",9
311,"Event Management & Promotion Agency",13
312,Fertilizers,1
313,"Fibre Glass & Products",5
314,"Film Distributors",2
315,"Film Post- Production Studio",2
316,"Film Producers",2
317,"Financial Cooperatives",4
318,"Financial Institutions",4
319,"Fire Protection Systems",5
320,"Flex Printing",14
321,"Flooring & Furnishing",5
322,"Flour & Mills",1
323,"Foams & Dunlops",5
324,"Food Products",9
325,"Foreign News Agencies",13
326,"Funeral Vehicles",14
327,Furniture,5
328,"Furniture- Cane",5
329,"Furniture- Metal",5
330,"Furniture- Steel",5
331,"Furniture- Wooden",5
332,"G.I. Wire/Copper & Brass Sheets",12
333,"Galvanized Sheets",12
334,"Garment Machinery",8
335,Garments,5
336,Gas,12
337,"Generators & Parts, Sales & Repair",5
338,"Geotechnical Laboratory",14
339,"Gifts & Novelties",2
340,"Glass Etching",14
341,"Glasses & Glassware",5
342,"Golf Courses",2
343,"Graphic Designers",14
344,"Guest Houses, Lodges & Inns",11
345,"Hair Color",14
346,"Hair Replacement Systems",14
347,"Hair Saloon",14
348,"Hand Tools",8
349,Handicrafts,1
350,"Handicrafts- Bones & Horns",1
351,"Handicrafts- Ceramics",1
352,"Handicrafts- Dolls",1
353,"Handicrafts- Felt",1
354,"Handicrafts- Khukuri",1
355,"Handicrafts- Knitwear",1
356,"Handicrafts- Metal Statues",1
357,"Handicrafts- Paper",1
358,"Handicrafts- Prayer Flags",1
359,"Handicrafts- Silver Jewelleries",1
360,"Handicrafts- Stone Carving",1
361,"Handicrafts- Thanka",1
362,"Handicrafts- Wooden",1
363,"Handicrafts- Woolen",1
364,Handlooms,1
365,"Hardware & Sanitaryware",5
366,"Hat Shops",1
367,"Health Clubs",10
368,"Health Clubs Equipment & Suppliers",5
369,"Heavy Equipment/Sales & Service",12
370,"Helicopter Services",11
371,Herbs,1
372,"Hides & Skins",5
373,"Hire- Audio & Video",14
374,"Hire- Bicycles & Motorcycles",14
375,"Hire- Vehicles",14
376,Holograms,5
377,"Home Delivery Services",14
378,"Hosiery & Machinery",12
379,"Hospital Equipment & Suppliers",5
380,"Hospital Equipment Repair",14
381,Hospitals,10
382,Hostels,14
383,"Hot Air Balloon",11
384,"Hotel Equipment & Supplies",11
385,Hotels,11
386,"Hotline Counselling",14
387,"Household Commodities",14
388,"Housing Companies",12
389,"Hydrology-Meteorology Equipment",12
390,"Ice Cubes",5
391,Ice-cream,9
392,"Immigration Offices",6
393,Incense,1
394,"Industrial Estates",12
395,"Industrial Instruments",12
396,"Industrial Raw Materials",12
397,"Installment Purchase",14
398,"Insurance Companies",5
399,"Insurance Surveyors",14
400,"Interior Decorators",5
401,"International Trade Fair",13
402,"Internet Service Providers",14
403,"Iron & Steel",12
404,"Jewelleries & Gems",5
405,Jute,1
406,"Kitchenware / Kitchen Equipments",8
407,"Lab Test Services",14
408,Labels,5
409,"Laboratory Instruments & Accessories",5
410,"Lamination Services",14
411,"Lamps, Lights & Luminaries",8
412,"Laundry Equipment & Suppliers",5
413,"Lawyers & Law Firms",14
414,"Leather Goods",1
415,Libraries,6
416,Locksmiths,5
417,Lubricants,3
418,Luggages,5
419,"Machinery & Tools",12
420,Marble,12
421,"Massage Parlours",14
422,"Match Industries",12
423,"Mattresses & Pillows",5
424,"Meat Products",9
425,"Medical & Surgical Appliances",10
426,"Medical Disposable & Surgical Appliances",10
427,"Medical Shops",10
428,"Medicine Distributors",10
429,"Merchant Exporter",5
430,"Metal Works",5
431,"Mineral Water",9
432,Minerals,12
433,Mirror,5
434,"Mobile Sales & Repair",8
435,"Model Agencies",7
436,"Money Changers",4
437,"Money Transfer",4
438,"Mosquito Mat Manufacturer",12
439,"Motorcycle Repair",3
440,"Motorcycles, Mopeds & Scooters Sales",3
